Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.99786","Escherichia coli c9b1a1e6-7bb8-11e9-a8d3-68b59976a384","fig|562.99786.peg.2475",,,,,"MacA","Macrolide-specific efflux protein MacA","Macrolide-specific efflux protein MacA","efflux pump conferring antibiotic resistance","Macrolides","erythromycin","11544226",,,,
"BLAT","Antibiotic Resistance","CARD","562.36610","Escherichia coli strain PNUSAE019691","fig|562.36610.peg.5491",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,37,100,100,"1e-82"
"K-mer Search","Antibiotic Resistance","PATRIC","562.101977","Escherichia coli SMG003F7","fig|562.101977.peg.1363","ML372_00475",,,,"EmrKY-TolC","Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK","Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK","efflux pump conferring antibiotic resistance","Tetracyclines�","tetracycline","20128927;12501312",,,,
"BLAT","Antibiotic Resistance","CARD","562.101994","Escherichia coli B204_004","fig|562.101994.peg.4661",,,"CAD09800.1","Salmonella enterica subsp. enterica serovar Typhi str. CT18","TEM-1","Class A beta-lactamase (EC 3.5.2.6) => TEM family",,"antibiotic inactivation enzyme,beta-lactam resistance gene",,,,100,100,100,"1e-163"
"BLAT","Antibiotic Resistance","NDARO","562.102155","Escherichia coli YZ21HCE10","fig|562.102155.peg.5247",,,"WP_000503573.1","Gammaproteobacteria",,"Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)","MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5","",,,,73,88,100,"1e-108"
"BLAT","Antibiotic Resistance","CARD","562.100634","Escherichia coli 422c072e-7bb9-11e9-a8d3-68b59976a384","fig|562.100634.peg.4741",,,"NP_312937.1","Escherichia coli O157:H7 str. Sakai","rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic resistant gene variant or mutant,rifampin resistance gene",,,,100,100,100,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99944","Escherichia coli 6cd06d76-7bb9-11e9-a8d3-68b59976a384","fig|562.99944.peg.2123",,,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"BLAT","Antibiotic Resistance","CARD","562.21680","Escherichia coli strain MOD1-EC6367","fig|562.21680.peg.1552",,,"YP_491362.1","Escherichia coli str. K-12 substr. W3110",,"Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic resistant gene variant or mutant,sulfonamide resistance gene",,,,100,100,100,"1e-158"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99762","Escherichia coli 86f8d298-7bb8-11e9-a8d3-68b59976a384","fig|562.99762.peg.2886",,,,,"EF-G","Translation elongation factor G","Translation elongation factor G","antibiotic target in susceptible species","Fusidic acid","fusidic acid","17980694",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100683","Escherichia coli 95ea5678-7bb8-11e9-a8d3-68b59976a384","fig|562.100683.peg.3401",,,,,"rho","Transcription termination factor Rho","Transcription termination factor Rho","antibiotic target in susceptible species","Bicyclomycins","bicyclomycin","8466900",,,,
"BLAT","Antibiotic Resistance","CARD","2810404.5","Escherichia coli O7:H4 JNE20-003","fig|2810404.5.peg.4009",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,29,100,100,"9e-63"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102260","Escherichia coli Col41","fig|562.102260.peg.4962","K9T85_10115",,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"BLAT","Antibiotic Resistance","CARD","562.102013","Escherichia coli Map_42_004","fig|562.102013.peg.106",,,"AAC75314.1","Escherichia coli str. K-12 substr. MG1655","PmrF","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,100,"1e-184"
"K-mer Search","Antibiotic Resistance","PATRIC","562.30602","Escherichia coli strain TUM18537","fig|562.30602.peg.2186",,,,,,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",,"efflux pump conferring antibiotic resistance","aminocoumarin antibiotics","novobiocin","12107134",,,,
"BLAT","Antibiotic Resistance","CARD","562.100611","Escherichia coli 998ba19c-7bb8-11e9-a8d3-68b59976a384","fig|562.100611.peg.1391",,,"YP_489201.1","Escherichia coli str. K-12 substr. W3110","ompF","Outer membrane porin OmpF",,"antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic",,,,100,100,98,"1e-212"
"BLAT","Antibiotic Resistance","CARD","562.69664","Escherichia coli strain BSI095","fig|562.69664.peg.4237","FKK68_25850",,"AAN41439.1","uncultured bacterium","aadA8","Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)",,"aminoglycoside resistance gene,antibiotic inactivation enzyme",,,,18,100,100,"2e-19"
"BLAT","Antibiotic Resistance","CARD","562.50326","Escherichia coli strain KCJK8830","fig|562.50326.peg.4452",,,"ABM97538.1","Escherichia coli","CTX-M-58","Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum",,"antibiotic inactivation enzyme,beta-lactam resistance gene",,,,55,100,100,"1e-83"
"BLAT","Antibiotic Resistance","CARD","562.99915","Escherichia coli c25c0eae-7bb8-11e9-a8d3-68b59976a384","fig|562.99915.peg.3129",,,"ABG77966.1","Enterobacter cloacae","acrB","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)",,"efflux pump conferring antibiotic resistance",,,,99,99,92,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.102203","Escherichia coli DIAR_EPEC33","fig|562.102203.peg.1599","E4489_01260",,"NP_416715.1","Escherichia coli str. K-12 substr. MG1655","YojI","ABC-type siderophore export system, fused ATPase and permease components",,"efflux pump conferring antibiotic resistance",,"microcin J25",,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99951","Escherichia coli 633ec82a-7bb9-11e9-a8d3-68b59976a384","fig|562.99951.peg.3351",,,,,"EmrD","Multidrug efflux pump EmrD (of MFS type)","Multidrug efflux pump EmrD (of MFS type)","efflux pump conferring antibiotic resistance","Macrolides, Aminoglycosides, Nitrofurans, Penams","azithromycin;gentamicin;nitrofurantoin;oxacillin;spiramycin","8987357;16675700",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100655","Escherichia coli 9390eaea-7bb8-11e9-a8d3-68b59976a384","fig|562.100655.peg.1477",,,,,"MdtEF-TolC","Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)","Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)","efflux pump conferring antibiotic resistance","Fluoroquinolones Quinolones Quinolines, Macrolides, Penams","oxacillin;cloxacillin;erythromycin;norfloxacin �","11914367",,,,
"BLAT","Antibiotic Resistance","CARD","562.102216","Escherichia coli IBD_EPEC18","fig|562.102216.peg.4181","E4533_13200",,"ABG77966.1","Enterobacter cloacae","acrB","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)",,"efflux pump conferring antibiotic resistance",,,,99,99,92,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102124","Escherichia coli SMG008U","fig|562.102124.peg.2721","MRS97_19565",,,,"CmlA family","Chloramphenicol resistance, MFS efflux pump => CmlA family","Chloramphenicol resistance, MFS efflux pump => CmlA family","efflux pump conferring antibiotic resistance","Phenicol antibiotics","chloramphenicol","1648560;11959555 ",,,,
"BLAT","Antibiotic Resistance","CARD","562.102192","Escherichia coli CNTRL_EPEC41","fig|562.102192.peg.4236","E4510_17410",,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,19,100,100,"3e-39"
"BLAT","Antibiotic Resistance","CARD","562.100027","Escherichia coli 23b5be5c-7bb9-11e9-a8d3-68b59976a384","fig|562.100027.peg.789",,,"AAC75138.1","Escherichia coli str. K-12 substr. MG1655","mdtD","Uncharacterized transporter MdtD of major facilitator superfamily (MFS)",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"1e-267"
"BLAT","Antibiotic Resistance","CARD","562.22985","Escherichia coli O86:H18 strain ECO0608","fig|562.22985.peg.903",,,"BAA15934.1","Escherichia coli str. K-12 substr. W3110",,"Sensory histidine kinase BaeS",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-270"
"BLAT","Antibiotic Resistance","CARD","562.102296","Escherichia coli Col15","fig|562.102296.peg.2658","K9T62_20210",,"ABG77966.1","Enterobacter cloacae","acrB","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)",,"efflux pump conferring antibiotic resistance",,,,99,99,92,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.100644","Escherichia coli 2723bda0-7bb9-11e9-a8d3-68b59976a384","fig|562.100644.peg.1425",,,"NP_415222.1","Escherichia coli str. K-12 substr. MG1655","kdpE","DNA-binding response regulator KdpE",,"aminoglycoside resistance gene",,"kanamycin A",,100,100,98,"1e-123"
"BLAT","Antibiotic Resistance","NDARO","562.102098","Escherichia coli Map_47_004","fig|562.102098.peg.1016",,,"WP_001083725.1","Gammaproteobacteria",,"Dihydrofolate reductase (EC 1.5.1.3)","MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA12","",,,,100,100,100,"1e-90"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102214","Escherichia coli IBD_EPEC21","fig|562.102214.peg.182","E4535_12815",,,,"GdpD","Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)","Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)","protein altering cell wall charge conferring antibiotic resistance","Peptide antibiotics","daptomycin","21899450",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102004","Escherichia coli B604_004","fig|562.102004.peg.1788",,,,,"rho","Transcription termination factor Rho","Transcription termination factor Rho","antibiotic target in susceptible species","Bicyclomycins","bicyclomycin","8466900",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99780","Escherichia coli d1d85810-7bb8-11e9-a8d3-68b59976a384","fig|562.99780.peg.199",,,,,"AcrZ","AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump","AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump","efflux pump conferring antibiotic resistance","Cephalosporins, Penams, Tetracyclines, Glycylcyclines, Phenicol antibiotics, Rifamycins, Fluoroquinolones Quinolones Quinolines, Triclosan","ciprofloxacin;tigecycline;chloramphenicol;rifampin;tetracycline;ampicillin;cefalothin�","23010927",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.68620","Escherichia coli strain 2018-226","fig|562.68620.peg.2318","I8E89_11100",,,,"MurA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","antibiotic target in susceptible species","Fosfomycin","fosfomycin","8994972",,,,
"BLAT","Antibiotic Resistance","CARD","562.102203","Escherichia coli DIAR_EPEC33","fig|562.102203.peg.3020","E4489_23110",,"NP_312937.1","Escherichia coli O157:H7 str. Sakai","rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic resistant gene variant or mutant,rifampin resistance gene",,,,100,100,100,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102163","Escherichia coli YZ21HCE18","fig|562.102163.peg.400","MRY61_01935",,,,"S10p","SSU ribosomal protein S10p (S20e)","SSU ribosomal protein S10p (S20e)","antibiotic target in susceptible species","Tetracyclines, Glycylcyclines","tetracycline;tigecycline","26124155",,,,
"BLAT","Antibiotic Resistance","CARD","562.99850","Escherichia coli f80f973c-7bb8-11e9-a8d3-68b59976a384","fig|562.99850.peg.3473",,,"BAE77781.1","Escherichia coli str. K-12 substr. W3110","mdtE","Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance",,"erythromycin;cloxacillin;oxacillin;norfloxacin",,100,100,99,"1e-214"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102185","Escherichia coli CNTRL_EPEC51","fig|562.102185.peg.74","E4507_11480",,,,"BcrC","Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance","Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance","antibiotic target protection protein","Peptide antibiotics","bacitracin","12486040;15778224;15946938",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99954","Escherichia coli 63fa8998-7bb9-11e9-a8d3-68b59976a384","fig|562.99954.peg.1537",,,,,"MdtABC-TolC","Multidrug efflux system MdtABC-TolC, membrane fusion component MdtA","Multidrug efflux system MdtABC-TolC, membrane fusion component MdtA","efflux pump conferring antibiotic resistance","Aminocoumarin antibiotics","novobiocin","12107134",,,,
"BLAT","Antibiotic Resistance","CARD","562.99848","Escherichia coli ed7cdf32-7bb8-11e9-a8d3-68b59976a384","fig|562.99848.peg.995",,,"AAC75138.1","Escherichia coli str. K-12 substr. MG1655","mdtD","Uncharacterized transporter MdtD of major facilitator superfamily (MFS)",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"1e-265"
"K-mer Search","Antibiotic Resistance","PATRIC","562.16313","Escherichia coli strain SF-380","fig|562.16313.peg.3114","BFQ17_10245",,,,,"Small multidrug resistance (SMR) efflux transporter => EmrE, broad substrate specificity",,"efflux pump conferring antibiotic resistance","aminoglycosides,macrolides","gentamicin c;erythromycin","23042996;7896833;2185131",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","1281121.3","Escherichia coli HVH 194 (4-2356805)","fig|1281121.3.peg.923","G846_00881","VBIEscCol269120_0923",,,,"DNA gyrase subunit B (EC 5.99.1.3)",,"antibiotic target in susceptible species","fluoroquinolones quinolones quinolines,aminocoumarin antibiotics","clofazimine;gatifloxacin;ciprofloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;novobiocin;coumermycin a1;clorobiocin;coumermycin;trovafloxacin","21693461;22279180;9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102201","Escherichia coli DIAR_EPEC34","fig|562.102201.peg.2734","E4534_17155",,,,"SugE","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","efflux pump conferring antibiotic resistance","Quaternary ammonium compounds","cetylpyridinium;cetyldimethylethyl ammonium;cetrimide","11948170",,,,
"BLAT","Antibiotic Resistance","CARD","562.101957","Escherichia coli BR-MHR268","fig|562.101957.peg.4659","MOV31_10395",,"YP_489201.1","Escherichia coli str. K-12 substr. W3110","ompF","Outer membrane porin OmpF",,"antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic",,,,100,100,100,"1e-215"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102076","Escherichia coli Map_133_002","fig|562.102076.peg.1007",,,,,"rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","antibiotic target in susceptible species","Rifamycins, Peptide antibiotics","rifamycin;daptomycin;rifabutin;rifampin","3050121;15047531;16723576",,,,
"BLAT","Antibiotic Resistance","CARD","562.100642","Escherichia coli 26fc004e-7bb9-11e9-a8d3-68b59976a384","fig|562.100642.peg.3297",,,"NP_414618.4","Escherichia coli str. K-12 substr. MG1655","leuO","LysR family transcriptional activator LeuO",,"gene modulating antibiotic efflux,sulfonamide resistance gene",,,,100,100,99,"1e-180"
"BLAT","Antibiotic Resistance","CARD","562.102091","Escherichia coli Map_154_002","fig|562.102091.peg.447",,,"AAC75733.1","Escherichia coli str. K-12 substr. MG1655","emrB","Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,100,"1e-300"
"BLAT","Antibiotic Resistance","NDARO","562.42043","Escherichia coli strain 316","fig|562.42043.peg.4992",,,"WP_001082319.1","Bacteria",,"Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I","MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib","",,,,100,100,100,"1e-157"
"BLAT","Antibiotic Resistance","CARD","562.100598","Escherichia coli 5bfc76b6-7bb9-11e9-a8d3-68b59976a384","fig|562.100598.peg.1466",,,"CDJ72593","Escherichia coli str. K-12 substr. MC4100","GlpT","Glycerol-3-phosphate transporter",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,99,"1e-275"
"BLAT","Antibiotic Resistance","CARD","562.46945","Escherichia coli strain JML028","fig|562.46945.peg.2656","HmCmsJML028_02453",,"BAE78116.1","Escherichia coli str. K-12 substr. W3110","PmrC","Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,98,"0.0"
"BLAT","Antibiotic Resistance","CARD","1055545.3","Escherichia coli O91 str. RM7190","fig|1055545.3.peg.3967","I51_19665",,"ACN32294.1","Escherichia coli","tolC","Outer membrane channel TolC (OpmH)",,"efflux pump conferring antibiotic resistance",,"erythromycin;cloxacillin;tetracycline;oxacillin;novobiocin;nalidixic acid;norfloxacin",,99,100,100,"1e-279"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100642","Escherichia coli 26fc004e-7bb9-11e9-a8d3-68b59976a384","fig|562.100642.peg.3438",,,,,"GadE","Transcriptional activator GadE","Transcriptional activator GadE","regulator modulating expression of antibiotic resistance genes","Multiple antibiotic resistance",,"14702398;12940989",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102052","Escherichia coli Map_77_007","fig|562.102052.peg.2361",,,,,"AcrAB-TolC","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)","efflux pump conferring antibiotic resistance","Cephalosporins, Penams, Tetracyclines, Glycylcyclines, Phenicol antibiotics, Rifamycins, Fluoroquinolones Quinolones Quinolines, Triclosan","ciprofloxacin;tigecycline;chloramphenicol;rifampin;tetracycline;ampicillin;cefalothin�","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.50590","Escherichia coli strain 1876-1","fig|562.50590.peg.3339",,,,,"EF-G","Translation elongation factor G","Translation elongation factor G","antibiotic target in susceptible species","Fusidic acid","fusidic acid","17980694",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102084","Escherichia coli Map_3_007","fig|562.102084.peg.4458",,,,,"MurA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)","antibiotic target in susceptible species","Fosfomycin","fosfomycin","8994972",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99898","Escherichia coli b5b1f4ba-7bb9-11e9-a8d3-68b59976a384","fig|562.99898.peg.587",,,,,"MarB","Multiple antibiotic resistance protein MarB","Multiple antibiotic resistance protein MarB","antibiotic resistance gene cluster,cassette,or operon","Penems, Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics,  Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan","cefalothin;chloramphenicol;tigecycline;ampicillin;tetracycline;rifampin","8383113;9068629",,,,
"BLAT","Antibiotic Resistance","CARD","562.100037","Escherichia coli 3c315248-7bb9-11e9-a8d3-68b59976a384","fig|562.100037.peg.1118",,,"AAC75314.1","Escherichia coli str. K-12 substr. MG1655","PmrF","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,99,"1e-182"
"BLAT","Antibiotic Resistance","CARD","562.102209","Escherichia coli DIAR_EPEC26","fig|562.102209.peg.2296","E4490_02565",,"AAC75089.1","Escherichia coli str. K-12 substr. MG1655","PmrE","UDP-glucose 6-dehydrogenase (EC 1.1.1.22)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,98,"1e-219"
"BLAT","Antibiotic Resistance","CARD","562.101992","Escherichia coli B617_007","fig|562.101992.peg.4560",,,"AFH35853.1","Escherichia coli","mdfA","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum",,"efflux pump conferring antibiotic resistance",,"Benzalkonium chloride;daunomycin;rhodamine",,12,98,94,"3e-19"
"BLAT","Antibiotic Resistance","CARD","562.102290","Escherichia coli Col206","fig|562.102290.peg.1858","K9T76_18140",,"AAC76296.1","Escherichia coli str. K-12 substr. MG1655","acrS","Probable acrEF/envCD operon repressor EnvR",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-123"
"K-mer Search","Antibiotic Resistance","PATRIC","562.101995","Escherichia coli B189_006","fig|562.101995.peg.1427",,,,,"TolC/OpmH","Outer membrane channel TolC (OpmH)","Outer membrane channel TolC (OpmH)","efflux pump conferring antibiotic resistance","Penams, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics, Aminocoumarin antibiotics, Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan, Macrolides, Glycylcyclines",,"6219270",,,,
"BLAT","Antibiotic Resistance","CARD","562.99926","Escherichia coli 5a3bf5ae-7bb9-11e9-a8d3-68b59976a384","fig|562.99926.peg.1805",,,"YP_488830.1","Escherichia coli str. K-12 substr. W3110","emrE","Small multidrug resistance (SMR) efflux transporter => EmrE, broad substrate specificity",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"4e-58"
"BLAT","Antibiotic Resistance","CARD","562.50439","Escherichia coli strain MEZEC14","fig|562.50439.peg.495",,,"NP_417177.1","Escherichia coli str. K-12 substr. MG1655","alaS","Alanyl-tRNA synthetase (EC 6.1.1.7)",,"aminocoumarin resistance gene",,,,76,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102148","Escherichia coli EC_1144","fig|562.102148.peg.1511","MRY39_00595",,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.102321","Escherichia coli A140161","fig|562.102321.peg.2113",,,"AAC76539.1","Escherichia coli str. K-12 substr. MG1655","mdtF","Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance",,"erythromycin;cloxacillin;oxacillin;norfloxacin",,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.102005","Escherichia coli Map_61_009","fig|562.102005.peg.1201",,,"NP_417169.1","Escherichia coli str. K-12 substr. MG1655","emrR","Multidrug resistance regulator EmrR (MprA)",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"2e-97"
"BLAT","Antibiotic Resistance","CARD","562.99957","Escherichia coli 796f78d8-7bb9-11e9-a8d3-68b59976a384","fig|562.99957.peg.3490",,,"CDJ73208","Escherichia coli str. K-12 substr. MC4100","UhpT","Hexose phosphate transport protein UhpT",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,100,"1e-270"
"BLAT","Antibiotic Resistance","CARD","562.102215","Escherichia coli IBD_EPEC19","fig|562.102215.peg.84","E4530_13535",,"NP_415434.1","Escherichia coli str. K-12 substr. MG1655","msbA","Lipid A export permease/ATP-binding protein MsbA",,"efflux pump conferring antibiotic resistance",,"ciprofloxacin;metronidazole",,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","NDARO","562.66912","Escherichia coli strain COL20160015","fig|562.66912.peg.5819",,,"WP_000219391.1","Gammaproteobacteria",,"Macrolide 2'-phosphotransferase => Mph(A) family","MULTISPECIES: Mph(A) family macrolide 2'-phosphotransferase","",,,,100,100,100,"1e-172"
"BLAT","Antibiotic Resistance","CARD","562.102035","Escherichia coli Map_97_020","fig|562.102035.peg.3032",,,"BAA11237.1","Escherichia coli","emrY","Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)",,"efflux pump conferring antibiotic resistance",,"tetracycline",,100,100,100,"1e-297"
"BLAT","Antibiotic Resistance","CARD","562.99952","Escherichia coli 7892e8be-7bb9-11e9-a8d3-68b59976a384","fig|562.99952.peg.328",,,"AFH35853.1","Escherichia coli","mdfA","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum",,"efflux pump conferring antibiotic resistance",,"Benzalkonium chloride;daunomycin;rhodamine",,100,100,97,"1e-225"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100013","Escherichia coli 8053517e-7bb9-11e9-a8d3-68b59976a384","fig|562.100013.peg.4759",,,,,"rpoC","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)","antibiotic target in susceptible species","Myxopyronins Corallopyronins, Peptide antibiotics","daptomycin","16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.47024","Escherichia coli strain JML114","fig|562.47024.peg.228","HmCmsJML114_00232",,,,"H-NS","DNA-binding protein H-NS","DNA-binding protein H-NS","regulator modulating expression of antibiotic resistance genes","Penams, Cephamycins, Cephalosporins, Fluoroquinolones Quinolones Quinolines, Macrolides, Tetracyclines","cloxacillin;oxacillin;ciprofloxacin;norfloxacin;erythromycin;tetracycline ","14973023",,,,
"BLAT","Antibiotic Resistance","CARD","2056315.6","Escherichia coli O177 strain CFG_335","fig|2056315.6.peg.4873","FPV20_06610",,"NP_417969.1","Escherichia coli str. K-12 substr. MG1655","gadE","Transcriptional activator GadE",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"8e-96"
"BLAT","Antibiotic Resistance","CARD","2810404.6","Escherichia coli O7:H4 JNE20-002","fig|2810404.6.peg.9",,,"AAC76296.1","Escherichia coli str. K-12 substr. MG1655","acrS","Probable acrEF/envCD operon repressor EnvR",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-124"
"BLAT","Antibiotic Resistance","CARD","562.50906","Escherichia coli strain EC276_ST906C","fig|562.50906.peg.2605","EA204_20685",,"AAC75733.1","Escherichia coli str. K-12 substr. MG1655","emrB","Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,100,"1e-300"
